"MD_EARN_WNE_P10","LOCALE","CCBASIC","CONTROL"
36339,"12","18","1"
46990,"12","15","1"
54361,"12","16","1"
32084,"12","19","1"
52751,"12","15","1"
41679,"12","18","1"
56933,"13","15","1"
39437,"12","19","2"
45389,"12","22","2"
39354,"23","18","1"
38378,"21","19","1"
53223,"21","17","2"
43123,"12","16","1"
39339,"33","18","1"
43728,"23","16","1"
55749,"12","15","1"
55205,"11","15","1"
77768,"41","22","2"
35112,"13","20","2"
37531,"21","22","2"
40077,"12","16","1"
51702,"13","15","1"
31984,"13","22","1"
37755,"13","16","1"
42472,"13","17","1"
40099,"13","22","2"
47520,"32","17","2"
39020,"32","19","1"
51785,"32","19","2"
36232,"42","21","2"
47704,"21","17","2"
52941,"11","18","2"
59684,"12","18","2"
80643,"23","18","1"
50960,"12","18","1"
63732,"21","18","1"
56270,"12","18","1"
52201,"11","17","1"
54586,"21","18","1"
57123,"11","18","1"
51997,"11","18","1"
53360,"11","18","1"
56814,"11","18","1"
80364,"12","15","1"
69766,"23","15","1"
71961,"11","15","1"
58880,"11","15","1"
74771,"11","15","1"
66491,"22","15","1"
58112,"13","15","1"
60835,"12","16","2"
53144,"11","18","2"
46454,"21","22","2"
66571,"13","19","2"
49071,"11","18","2"
42726,"33","19","1"
43006,"21","22","2"
56663,"21","17","2"
55004,"11","19","2"
68701,"11","16","2"
68312,"11","18","2"
41202,"21","19","2"
60605,"41","22","2"
74214,"11","17","2"
72035,"21","17","2"
59862,"11","18","2"
65551,"13","18","2"
59027,"11","16","1"
60126,"11","18","1"
78031,"11","17","2"
67365,"11","18","1"
93291,"12","17","2"
43846,"13","20","2"
67742,"21","18","2"
58788,"21","18","1"
48782,"12","20","2"
83426,"11","15","2"
37685,"33","18","1"
57987,"11","15","1"
60740,"12","15","1"
90060,"21","16","1"
54983,"12","15","1"
66004,"11","16","2"
38083,"32","21","1"
47439,"11","18","1"
47112,"12","17","1"
63625,"11","17","2"
44449,"12","20","1"
45755,"33","20","1"
50003,"12","17","2"
52515,"21","18","1"
72460,"21","15","1"
58087,"12","17","2"
52610,"21","18","2"
46100,"21","17","2"
42994,"13","16","1"
67298,"21","15","1"
47181,"13","22","2"
71933,"11","16","2"
33841,"11","16","2"
80606,"11","15","2"
96375,"11","15","2"
56236,"11","16","2"
36302,"13","21","2"
51912,"21","15","1"
30657,"11","22","2"
77768,"13","19","2"
42521,"12","16","1"
50478,"13","16","1"
44970,"23","22","2"
63704,"13","16","2"
54501,"21","15","1"
47123,"12","19","2"
53449,"12","15","1"
64463,"12","15","1"
67362,"13","15","2"
49338,"11","17","1"
53201,"21","16","2"
46413,"12","17","2"
50262,"11","15","1"
50752,"21","18","2"
40636,"12","19","2"
55040,"11","18","2"
28956,"11","22","2"
41711,"31","22","2"
43063,"13","18","1"
32130,"32","23","1"
35851,"13","19","1"
38553,"32","22","2"
44996,"13","18","2"
31764,"13","23","1"
41096,"12","18","1"
72364,"11","15","2"
88196,"11","15","1"
42086,"32","19","1"
50169,"32","18","1"
47913,"32","16","1"
43099,"11","15","1"
59769,"12","15","1"
35611,"32","23","1"
45428,"32","22","2"
52841,"12","16","2"
55444,"21","21","2"
46095,"32","18","2"
41251,"41","20","2"
37021,"12","20","1"
42097,"13","20","2"
41034,"32","19","2"
35357,"32","22","2"
43218,"13","17","1"
45011,"31","17","1"
44647,"11","18","2"
43823,"33","17","1"
52862,"11","15","1"
56483,"11","18","2"
48268,"21","22","1"
43100,"12","16","1"
48272,"32","16","1"
41741,"13","22","1"
47908,"22","18","2"
49281,"32","22","2"
49800,"21","17","2"
38571,"32","21","2"
61889,"12","18","2"
40534,"11","18","1"
46133,"21","18","2"
47991,"32","18","1"
56183,"21","18","2"
48796,"41","18","1"
42696,"32","20","2"
59780,"11","15","1"
57344,"21","17","2"
71539,"13","15","1"
77682,"11","16","2"
55457,"22","16","1"
49210,"12","20","2"
55906,"21","18","2"
63232,"11","16","2"
48784,"21","18","2"
47129,"13","22","2"
54460,"12","19","2"
51035,"11","18","2"
80033,"13","15","2"
46683,"11","18","1"
47552,"23","18","2"
46325,"33","22","2"
49932,"12","20","2"
43592,"11","17","2"
52781,"21","18","2"
59498,"21","17","2"
53990,"11","18","2"
49747,"12","18","1"
48803,"13","16","1"
51671,"21","17","1"
47292,"21","22","2"
43800,"21","17","2"
49631,"33","18","1"
43109,"13","19","2"
46194,"13","22","2"
41427,"32","19","2"
40625,"32","20","2"
42566,"11","18","1"
47542,"11","16","1"
47629,"11","17","2"
41923,"22","18","1"
39572,"12","19","1"
58814,"13","15","1"
41963,"13","20","1"
42668,"21","19","1"
