"MD_EARN_WNE_P10","MD_FAMINC","AGE_ENTRY","FEMALE","FIRST_GEN","PCT_WHITE","DEBT_MDN_SUPP","C150_4","COSTT4_A","POVERTY_RATE","UNEMP_RATE","MARRIED","SAT_ALL"
36339,23553,20.283741368,0.5640301318,0.3658280922,46.8400001525878,15250,0.2866,23445,14.8800001144409,4.84000015258789,0.0091023227,465
46990,34489,23.60797466,0.6390907397,0.341223671,69.0199966430664,15085,0.6117,25542,10.9099998474121,3.45000004768371,0.1050866406,604.5
54361,44787,22.727919632,0.4763499372,0.3101321586,76.3799972534179,14000,0.5714,24861,9.36999988555908,3.64000010490417,0.1004604437,650
32084,22080.5,20.130990415,0.6134185304,0.3434343434,42.6899986267089,17500,0.3177,21892,16.9599990844726,4.80999994277954,0.0079872204,473.5
52751,66733.5,21.137701396,0.6152524168,0.2257126887,75.3499984741211,17671,0.7214,30016,10.0500001907348,3.25999999046325,0.0537056928,600
41679,29671.5,22.199804114,0.6929480901,0.38189609,59.9700012207031,12000,0.304,20225,13,3.78999996185302,0.0729676787,500.5
56933,72031,20.516795866,0.531504671,0.1726471191,75.9000015258789,17500,0.787,32196,9.59000015258789,3.14000010490417,0.0222619758,620
39437,24037.5,28.260475651,0.6387315968,0.4300319489,64.8799972534179,14250,0.2711,34835,12.3100004196167,3.92000007629394,0.167610419,549
45389,37577,23.017751479,0.4704142012,0.3456,73.1999969482422,17500,0.4185,37483,10.6099996566772,3.28999996185302,0.0828402367,540.5
39354,35734,22.62058319,0.5886792453,0.3637702504,76.9599990844726,15000,0.4551,21560,11.4499998092651,3.55999994277954,0.0963979417,477.5
38378,43813,21.02364532,0.6827586207,0.3252375924,77.8000030517578,15815,0.5415,26018,9.34000015258789,2.95000004768371,0.039408867,551.5
53223,87745,21.151869159,0.6588785047,0.1380552221,80.9100036621093,15857,0.772,49634,7.09999990463257,2.6800000667572,0.0432242991,575
43123,36199,21.947266881,0.6229367631,0.334257975,71.4300003051757,17250,0.4491,21694,12.5,3.90000009536743,0.0619506967,543.5
39339,29641,25.749796913,0.6510154346,0.3898457122,62.0200004577636,15950,0.5017,21251,12.9899997711181,3.84999990463256,0.1696181966,510
43728,35967,25.450308815,0.5940482875,0.3988326848,69.3499984741211,11000,0.387,19135,8.44999980926513,6.55999994277954,0.2504211117,580
55749,35851.5,24.7478311,0.5568306611,0.3813179205,78.7600021362304,13632,0.6601,27056,7.71000003814697,3.15000009536743,0.1507797057,605
55205,43043,21.308737695,0.5628539071,0.3140729569,77.5100021362304,14198,0.6489,27461,9.28999996185302,3.26999998092651,0.0440804948,610
77768,38662,25.385231459,0.1816434407,0.3554592721,78.7900009155273,14000,0.5916,54536,7.30000019073486,3.20000004768371,0.3354156655,615
35112,26676,27.980676329,0.6956521739,0.2319587629,81.870002746582,12500,0.4878,43649,8.47999954223632,3.23000001907348,0.1497584541,596.5
37531,36206.5,22.759109312,0.2894736842,0.3825503356,82.2699966430664,7132,0.4379,44585,7.19000005722046,3.04999995231628,0.0647773279,514
40077,27239,25.515523089,0.6464909992,0.3910404624,70.0500030517578,13765,0.4169,20416,10.9600000381469,3.63000011444091,0.171145317,540
