Year,Education,Gender,Area,Major,Graduates,Employed
2007,Total,Both sexes,Total,Education,2581,1928
2007,Total,Both sexes,Uusimaa,Education,789,619
2007,Total,Both sexes,Varsinais-Suomi,Education,216,166
2007,Total,Both sexes,Satakunta,Education,89,59
2007,Total,Both sexes,Kanta-Häme,Education,55,45
2007,Total,Both sexes,Pirkanmaa,Education,235,174
2007,Total,Both sexes,Päijät-Häme,Education,72,56
2007,Total,Both sexes,Kymenlaakso,Education,52,40
2007,Total,Both sexes,South Karelia,Education,52,45
2007,Total,Both sexes,Etelä-Savo,Education,68,51
2007,Total,Both sexes,Pohjois-Savo,Education,108,81
2007,Total,Both sexes,North Karelia,Education,74,55
2007,Total,Both sexes,Central Finland,Education,159,94
2007,Total,Both sexes,South Ostrobothnia,Education,69,56
2007,Total,Both sexes,Ostrobothnia,Education,107,81
2007,Total,Both sexes,Central Ostrobothnia,Education,34,26
2007,Total,Both sexes,North Ostrobothnia,Education,240,162
2007,Total,Both sexes,Kainuu,Education,47,38
2007,Total,Both sexes,Lapland,Education,107,73
2007,Total,Both sexes,Åland,Education,8,
2007,Total,Both sexes,Unknown,Education,,
2007,Total,Males,Total,Education,437,344
2007,Total,Males,Uusimaa,Education,120,96
2007,Total,Males,Varsinais-Suomi,Education,41,30
2007,Total,Males,Satakunta,Education,14,9
2007,Total,Males,Kanta-Häme,Education,19,16
2007,Total,Males,Pirkanmaa,Education,31,22
2007,Total,Males,Päijät-Häme,Education,12,11
2007,Total,Males,Kymenlaakso,Education,13,12
2007,Total,Males,South Karelia,Education,9,
2007,Total,Males,Etelä-Savo,Education,9,
2007,Total,Males,Pohjois-Savo,Education,18,16
2007,Total,Males,North Karelia,Education,8,
2007,Total,Males,Central Finland,Education,31,22
2007,Total,Males,South Ostrobothnia,Education,13,11
2007,Total,Males,Ostrobothnia,Education,21,17
2007,Total,Males,Central Ostrobothnia,Education,9,
2007,Total,Males,North Ostrobothnia,Education,47,32
2007,Total,Males,Kainuu,Education,5,
2007,Total,Males,Lapland,Education,15,11
2007,Total,Males,Åland,Education,2,
2007,Total,Males,Unknown,Education,,
2007,Total,Females,Total,Education,2144,1584
2007,Total,Females,Uusimaa,Education,669,523
2007,Total,Females,Varsinais-Suomi,Education,175,136
2007,Total,Females,Satakunta,Education,75,50
2007,Total,Females,Kanta-Häme,Education,36,29
2007,Total,Females,Pirkanmaa,Education,204,152
2007,Total,Females,Päijät-Häme,Education,60,45
2007,Total,Females,Kymenlaakso,Education,39,28
2007,Total,Females,South Karelia,Education,43,37
2007,Total,Females,Etelä-Savo,Education,59,43
2007,Total,Females,Pohjois-Savo,Education,90,65
